sample_id,label,dataset_source,owner,repo,repo_key,vulnerable_hash,file_name,raw_url,patch_signif,patch_count,path_depth,path_len,filename_len,token_count_in_path,raw_url_len,is_test_like,is_internal_path,is_pkg_path,is_cmd_path,has_auth_kw,has_crypto_kw,has_network_kw,has_storage_kw,has_parser_kw,has_input_kw,has_exec_kw,has_security_kw,repo_rows_in_dataset,owner_rows_in_dataset,files_in_same_fix_commit,rows_in_same_dir_in_dataset,same_file_occurrences_in_dataset,repo_positive_ratio_in_dataset
c11b8f2a073a,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/services/v0/developer_test.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fservices%2Fv0%2Fdeveloper_test.go,"['@@ -634,6 +634,59 @@']",1,3,38,17,6,124,1,1,0,0,0,0,0,0,0,0,0,0,28,28,23,4,1,1.0
45d874c5b67e,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/services/v1/permissions_test.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fservices%2Fv1%2Fpermissions_test.go,"['@@ -228,6 +228,13 @@', '@@ -390,6 +397,12 @@']",2,3,40,19,6,126,1,1,0,0,1,0,0,0,0,0,0,0,28,28,23,2,1,1.0
5b70214247b5,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,internal/services/v1/relationships.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/internal%2Fservices%2Fv1%2Frelationships.go,"['@@ -275,6 +275,9 @@']",1,3,37,16,5,123,0,1,0,0,0,0,0,0,0,0,0,0,28,28,23,2,1,1.0
8fc2366ca350,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,pkg/graph/tree.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/pkg%2Fgraph%2Ftree.go,"['@@ -1,81 +1,10 @@', '@@ -103,53 +32,17 @@']",2,2,17,7,4,101,0,0,1,0,0,0,0,0,0,0,0,0,28,28,23,2,1,1.0
da57ed5c0d6c,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,pkg/graph/tree_test.go,https://github.com/authzed/spicedb/raw/d002401b6b644edd24e8cc63d146d77e6df6a23a/pkg%2Fgraph%2Ftree_test.go,"['@@ -1,112 +0,0 @@']",1,2,22,12,5,106,1,0,1,0,0,0,0,0,0,0,0,0,28,28,23,2,1,1.0
ebe7745f5675,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,pkg/membership/membership.go,https://github.com/authzed/spicedb/raw/d002401b6b644edd24e8cc63d146d77e6df6a23a/pkg%2Fmembership%2Fmembership.go,"['@@ -1,238 +0,0 @@']",1,2,28,13,4,112,0,0,1,0,0,0,0,0,0,0,0,0,28,28,23,2,1,1.0
e388dc4bae24,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,pkg/membership/membership_test.go,https://github.com/authzed/spicedb/raw/d002401b6b644edd24e8cc63d146d77e6df6a23a/pkg%2Fmembership%2Fmembership_test.go,"['@@ -1,128 +0,0 @@']",1,2,33,18,5,117,1,0,1,0,0,0,0,0,0,0,0,0,28,28,23,2,1,1.0
c347a7cdf026,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,pkg/tuple/onrset.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/pkg%2Ftuple%2Fonrset.go,"['@@ -91,6 +91,18 @@']",1,2,19,9,4,103,0,0,1,0,0,0,0,0,0,0,0,0,28,28,23,1,1,1.0
834b5d0104cd,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,pkg/validationfile/fileformat.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/pkg%2Fvalidationfile%2Ffileformat.go,"['@@ -149,10 +149,20 @@', '@@ -170,17 +180,44 @@']",2,2,32,13,4,116,0,0,1,0,0,0,0,0,0,1,0,0,28,28,23,2,1,1.0
9f912ea5670f,1,vulnerable,authzed,spicedb,authzed/spicedb,d002401b6b644edd24e8cc63d146d77e6df6a23a,pkg/validationfile/fileformat_test.go,https://github.com/authzed/spicedb/raw/15bba2e2d2a4bda336a37a7fe8ef8a35028cd970/pkg%2Fvalidationfile%2Ffileformat_test.go,"['@@ -65,18 +65,32 @@']",1,2,37,18,5,121,1,0,1,0,0,0,0,0,0,1,0,0,28,28,23,2,1,1.0
