loc,func_cnt,ccn,avg_ccn,max_ccn,token_count,avg_params,file_commits,unique_authors,file_age_days,security_touch_ratio,is_vuln
867,164,338,2.061,20,5114,2.366,102,9,819,0.0,0
2,0,0,0.0,0,22,0.0,0,0,0,0.0,0
135,22,45,2.045,5,951,3.227,67,33,5303,0.0149,0
411,40,127,3.175,14,2774,1.825,255,43,3869,0.0039,0
159,26,31,1.192,2,596,1.115,3,3,760,0.0,0
82,8,27,3.375,5,526,0.875,35,9,2726,0.2,1
1117,110,396,3.6,24,7927,2.291,449,103,4237,0.0,0
3,0,0,0.0,0,12,0.0,0,0,0,0.0,0
231,26,29,1.115,2,1077,0.923,12,10,202,0.1667,0
65,4,16,4.0,8,680,3.25,2,1,210,0.0,0
2912,261,296,1.134,10,19398,1.057,14,11,88,0.0,1
389,46,162,3.522,12,2137,2.0,18,4,726,0.0,0
595,76,208,2.737,26,3900,2.013,155,17,2430,0.0065,0
23,0,0,0.0,0,193,0.0,0,0,0,0.0,0
122,6,42,7.0,22,389,1.5,52,24,5939,0.0192,0
40,4,11,2.75,6,222,1.25,6,1,71,0.0,0
47,6,8,1.333,2,292,1.167,9,7,1664,0.0,0
137,25,35,1.4,3,812,2.48,6,2,46,0.3333,0
295,27,96,3.556,25,1739,1.259,3,3,8,0.0,0
204,18,20,1.111,2,1230,1.222,26,13,1169,0.0,0
422,42,42,1.0,1,1985,1.048,42,22,2309,0.0,0
130,7,55,7.857,16,961,3.571,33,10,670,0.0303,0
877,49,63,1.286,5,4799,1.041,15,9,242,0.0,0
48,3,14,4.667,6,316,0.667,13,4,697,0.0769,0
68,8,21,2.625,8,565,2.5,2,2,117,0.0,0
57,8,16,2.0,6,385,1.75,1,1,575,0.0,0
31,2,6,3.0,3,137,4.5,6,5,3613,0.0,0
4283,239,440,1.841,13,19230,1.184,245,74,3754,0.0,0
648,64,71,1.109,3,2961,1.219,20,10,560,0.05,0
1382,95,201,2.116,13,7983,1.221,105,31,1175,0.0,0
67,22,28,1.273,4,367,2.5,0,0,0,0.0,0
372,36,44,1.222,3,1717,1.028,31,14,437,0.0,0
58,14,14,1.0,1,244,1.0,2,2,148,0.0,0
