feature,importance
rare_parent_child_score,0.2412959513964791
script_chain_depth,0.1931789175872591
outbound_conn_count,0.16400149747869947
archive_attachment_kb,0.14163699446869943
offhours_activity_score,0.10764080030941962
failed_login_burst,0.044537155735483676
scheduled_task,0.027999959806329442
macro_exec,0.02029965787326377
defense_evasion,0.01708844357197014
c2_beaconing,0.007162597455193126
packed_payload,0.0069167757833371426
signed_binary_proxy,0.006266460677538873
social_contact,0.004889114479134897
credential_access,0.003909299934709816
phish_attachment,0.0026678061276553936
powershell_exec,0.0021420512923380416
smb_lateral,0.001516267095095235
phish_link,0.0012819427529230248
network_discovery,0.001131156418076195
cloud_exfil,0.0011102855925015133
dll_sideload,0.0008710720191202415
valid_accounts_use,0.0006668345613530274
crypto_targeting,0.0006306033436005912
new_service,0.0005402521107576175
ssh_lateral,0.00032726716957205037
rdp_lateral,0.0002908349594893746
