owner,repo,vulnerable_hash,file_name,raw_url,patch_signif
v2ray,v2ray-core,67f409de04bea112a095258f7d8fb0f330582a9d,proxy/vless/outbound/outbound.go,https://github.com/v2ray/v2ray-core/raw/60909dad310b145a2ca0dae262d9d65af9767933/proxy%2Fvless%2Foutbound%2Foutbound.go,[]
v2ray,v2ray-core,e445d21f4ba42e3e4abeeb81164d9bccb79ff26d,infra/conf/router.go,https://github.com/v2ray/v2ray-core/raw/dfed0dc03ae5466f13027e9058e98b21a4e75d7d/infra%2Fconf%2Frouter.go,[]
v2ray,v2ray-core,14c80ec2e1894e86f7df79e2606b124c68783be7,app/dispatcher/default.go,https://github.com/v2ray/v2ray-core/raw/64493e38119b8a83fd54020a7f75adf548579e05/app%2Fdispatcher%2Fdefault.go,[]
v2ray,v2ray-core,14c80ec2e1894e86f7df79e2606b124c68783be7,app/router/router.go,https://github.com/v2ray/v2ray-core/raw/64493e38119b8a83fd54020a7f75adf548579e05/app%2Frouter%2Frouter.go,"['@@ -9,24 +9,12 @@', '@@ -35,6 +23,13 @@', '@@ -74,39 +69,43 @@', '@@ -124,34 +123,24 @@']"
v2ray,v2ray-core,14c80ec2e1894e86f7df79e2606b124c68783be7,app/router/router_test.go,https://github.com/v2ray/v2ray-core/raw/64493e38119b8a83fd54020a7f75adf548579e05/app%2Frouter%2Frouter_test.go,[]
v2ray,v2ray-core,14c80ec2e1894e86f7df79e2606b124c68783be7,features/routing/dns/context.go,https://github.com/v2ray/v2ray-core/raw/64493e38119b8a83fd54020a7f75adf548579e05/features%2Frouting%2Fdns%2Fcontext.go,"['@@ -0,0 +1,44 @@']"
v2ray,v2ray-core,14c80ec2e1894e86f7df79e2606b124c68783be7,features/routing/dns/errors.generated.go,https://github.com/v2ray/v2ray-core/raw/64493e38119b8a83fd54020a7f75adf548579e05/features%2Frouting%2Fdns%2Ferrors.generated.go,"['@@ -0,0 +1,9 @@']"
v2ray,v2ray-core,14c80ec2e1894e86f7df79e2606b124c68783be7,features/routing/router.go,https://github.com/v2ray/v2ray-core/raw/64493e38119b8a83fd54020a7f75adf548579e05/features%2Frouting%2Frouter.go,"['@@ -7,12 +7,26 @@']"
v2ray,v2ray-core,155c0e070bd52fc55674c53bdbf2b09bef878e48,app/dns/server.go,https://github.com/v2ray/v2ray-core/raw/ec0c3f181d45d3ba0bb963e7217d1f68d9f36fff/app%2Fdns%2Fserver.go,"['@@ -99,13 +99,22 @@']"
v2ray,v2ray-core,df2d296ffcaa60634eda55d37be693bbcba30e38,app/dispatcher/default.go,https://github.com/v2ray/v2ray-core/raw/4d5a4f4cb6af26b36e5a1a4ecacbdaf3071692f4/app%2Fdispatcher%2Fdefault.go,[]
v2ray,v2ray-core,df2d296ffcaa60634eda55d37be693bbcba30e38,app/router/router.go,https://github.com/v2ray/v2ray-core/raw/4d5a4f4cb6af26b36e5a1a4ecacbdaf3071692f4/app%2Frouter%2Frouter.go,"['@@ -9,24 +9,12 @@', '@@ -35,6 +23,13 @@', '@@ -74,39 +69,43 @@', '@@ -124,34 +123,24 @@']"
v2ray,v2ray-core,df2d296ffcaa60634eda55d37be693bbcba30e38,app/router/router_test.go,https://github.com/v2ray/v2ray-core/raw/4d5a4f4cb6af26b36e5a1a4ecacbdaf3071692f4/app%2Frouter%2Frouter_test.go,[]
v2ray,v2ray-core,df2d296ffcaa60634eda55d37be693bbcba30e38,features/routing/dns/context.go,https://github.com/v2ray/v2ray-core/raw/4d5a4f4cb6af26b36e5a1a4ecacbdaf3071692f4/features%2Frouting%2Fdns%2Fcontext.go,"['@@ -0,0 +1,44 @@']"
v2ray,v2ray-core,df2d296ffcaa60634eda55d37be693bbcba30e38,features/routing/dns/errors.generated.go,https://github.com/v2ray/v2ray-core/raw/4d5a4f4cb6af26b36e5a1a4ecacbdaf3071692f4/features%2Frouting%2Fdns%2Ferrors.generated.go,"['@@ -0,0 +1,9 @@']"
v2ray,v2ray-core,df2d296ffcaa60634eda55d37be693bbcba30e38,features/routing/router.go,https://github.com/v2ray/v2ray-core/raw/4d5a4f4cb6af26b36e5a1a4ecacbdaf3071692f4/features%2Frouting%2Frouter.go,"['@@ -7,12 +7,26 @@']"
v2ray,v2ray-core,2cc8c1aa01f03d2495cbfccda868574439c44953,app/stats/channel.go,https://github.com/v2ray/v2ray-core/raw/fa37f82b89abcebee452595b7ab795eb93162e3c/app%2Fstats%2Fchannel.go,"['@@ -5,15 +5,33 @@', '@@ -31,16 +49,19 @@', '@@ -85,34 +106,30 @@']"
v2ray,v2ray-core,2cc8c1aa01f03d2495cbfccda868574439c44953,app/stats/channel_test.go,https://github.com/v2ray/v2ray-core/raw/fa37f82b89abcebee452595b7ab795eb93162e3c/app%2Fstats%2Fchannel_test.go,"['@@ -12,25 +11,30 @@', '@@ -84,22 +88,31 @@', '@@ -264,25 +278,27 @@']"
v2ray,v2ray-core,2cc8c1aa01f03d2495cbfccda868574439c44953,app/stats/config.go,https://github.com/v2ray/v2ray-core/raw/2cc8c1aa01f03d2495cbfccda868574439c44953/app%2Fstats%2Fconfig.go,"['@@ -1,15 +0,0 @@']"
v2ray,v2ray-core,2cc8c1aa01f03d2495cbfccda868574439c44953,app/stats/config.pb.go,https://github.com/v2ray/v2ray-core/raw/fa37f82b89abcebee452595b7ab795eb93162e3c/app%2Fstats%2Fconfig.pb.go,"['@@ -63,18 +63,90 @@', '@@ -119,14 +192,26 @@']"
v2ray,v2ray-core,2cc8c1aa01f03d2495cbfccda868574439c44953,app/stats/stats.go,https://github.com/v2ray/v2ray-core/raw/fa37f82b89abcebee452595b7ab795eb93162e3c/app%2Fstats%2Fstats.go,"['@@ -8,6 +8,8 @@', '@@ -129,8 +131,14 @@', '@@ -140,10 +148,22 @@']"
v2ray,v2ray-core,2cc8c1aa01f03d2495cbfccda868574439c44953,app/stats/stats_test.go,https://github.com/v2ray/v2ray-core/raw/fa37f82b89abcebee452595b7ab795eb93162e3c/app%2Fstats%2Fstats_test.go,[]
v2ray,v2ray-core,2cc8c1aa01f03d2495cbfccda868574439c44953,features/stats/stats.go,https://github.com/v2ray/v2ray-core/raw/fa37f82b89abcebee452595b7ab795eb93162e3c/features%2Fstats%2Fstats.go,"['@@ -30,9 +30,30 @@']"
v2ray,v2ray-core,a308620073ef36ad74ad324049ee65633e34b7ba,app/commander/config.pb.go,https://github.com/v2ray/v2ray-core/raw/bb44d01096a92448322a0c41441314212795d19b/app%2Fcommander%2Fconfig.pb.go,[]
